Date,Open,High,Low,Close,Adj Close,Volume,future
2020-01-02,-0.7286840776922701,-0.7134681687221935,-0.672217019738854,-0.6982944643739817,-0.7064022055421513,-0.48744755172379417,-0.7098894115688206
2020-01-03,-0.7250617401791288,-0.7135477281183766,-0.6670172753168431,-0.7098894115688206,-0.7177651831770056,-0.43203222168585276,-0.7004785068192705
2020-01-06,-0.7384364127099599,-0.7160116438087023,-0.6819020676239929,-0.7004785068192705,-0.7085425297201393,-0.5748106188864648,-0.7060773044144124
2020-01-07,-0.7143539846395957,-0.7122759905751221,-0.6631273393194512,-0.7060773044144124,-0.7140291599591624,-0.62344265131259,-0.6870172533657679
2020-01-08,-0.7250218955597818,-0.6982076820418432,-0.6643975373348547,-0.6870172533657679,-0.6953506345522191,-0.5048310296000067,-0.661444943480646
2020-01-09,-0.6848977564897911,-0.6744029285619688,-0.6285152307625823,-0.661444943480646,-0.6702896800663805,-0.31046440698150146,-0.6586654183423455
2020-01-10,-0.6715229624814623,-0.6655008870387555,-0.6203782594211071,-0.6586654183423455,-0.6675658202146657,-0.4610523873277247,-0.6323386364900501
2020-01-13,-0.667383130826801,-0.6480149202974939,-0.6088673775967945,-0.6323386364900501,-0.6417655655525518,-0.5587375972396599,-0.6493338870490271
2020-01-14,-0.6472414327918605,-0.6460278758659967,-0.60481863656429,-0.6493338870490271,-0.6584211101891613,-0.3521393683488532,-0.6546548169569333
2020-01-15,-0.6665472441629987,-0.6542542689194912,-0.6152182465410618,-0.6546548169569333,-0.6636357337595546,-0.5567361360094103,-0.6391685103323035
2020-01-16,-0.6596210831364968,-0.6534594026350653,-0.6051362466345158,-0.6391685103323035,-0.64845915655602,-0.6236614014164068,-0.6253101472359437
2020-01-17,-0.6489531722163104,-0.641378259812851,-0.5935856332682374,-0.6253101472359437,-0.634877788951641,-0.4755082937210797,-0.6338872065620884
2020-01-21,-0.6452909900838222,-0.6402655197823952,-0.5896163553196643,-0.6338872065620884,-0.6432835658813949,-0.6133678801760529,-0.6294001220775876
2020-01-22,-0.6397580544819899,-0.6364106487341081,-0.5844166108976532,-0.6294001220775876,-0.638886308278813,-0.659421932406729,-0.6233247202025078
2020-01-23,-0.6423851268539402,-0.6381194778380994,-0.5910056268282149,-0.6233247202025078,-0.6329326292524942,-0.6459309797423604,-0.6269779592636033
2020-01-24,-0.6331104413584234,-0.623137206485255,-0.5835830964456228,-0.6269779592636033,-0.6365126432474391,-0.4309343823797813,-0.664145095162715
2020-01-27,-0.6736725068087379,-0.6690776640391043,-0.633754706726559,-0.664145095162715,-0.6729358412070832,-0.3522129665146233,-0.6294398693961281
2020-01-28,-0.6635618131719205,-0.6427294354727211,-0.6047392946131085,-0.6294398693961281,-0.6389250964542317,-0.350710337296816,-0.603033714087601
2020-01-29,-0.6163919792173866,-0.6051742472055974,-0.5682616205751001,-0.603033714087601,-0.6130471430811057,-0.07474174838064873,-0.6049000203462647
2020-01-30,-0.6319560406948403,-0.6201168601399178,-0.5787008409610876,-0.6049000203462647,-0.6148763053345214,-0.5321032388048372,-0.6619214265797349
2020-01-31,-0.6304036797477788,-0.625720339990288,-0.6202194543859942,-0.6619214265797349,-0.6707568512138513,-0.15979260650204008,-0.6652966767727455
2020-02-03,-0.6966006556930171,-0.6622422263435714,-0.6443130006056939,-0.6652966767727455,-0.674064613819817,-0.29165598684023897,-0.624833664136855
2020-02-04,-0.6527744898711911,-0.6378014828125023,-0.599023524676543,-0.624833664136855,-0.6344111072448695,-0.48164147420192616,-0.6145094193268186
2020-02-05,-0.6200940059692222,-0.617454167238702,-0.5779069369182732,-0.6145094193268186,-0.6242932667490049,-0.5725638304369813,-0.5995790904383584
2020-02-06,-0.6238754790047556,-0.6156261203200033,-0.5727071924962621,-0.5995790904383584,-0.6096619264844776,-0.6410571456535811,-0.6201480854213501
2020-02-07,-0.6246716425267089,-0.6228589911577493,-0.5816777994225177,-0.6201480854213501,-0.6268636869414927,-0.5784046626482409,-0.6141124308648109
2020-02-10,-0.6572725586674817,-0.6302110798102023,-0.5981502786825468,-0.6141124308648109,-0.620934602310313,-0.6210057342682004,-0.6218158974490098
2020-02-11,-0.6197754919694416,-0.620871946726252,-0.5788596459962005,-0.6218158974490098,-0.6285020896823608,-0.6978013314623726,-0.5916770084423062
2020-02-12,-0.6282541354205031,-0.6076779425940146,-0.5679044000956583,-0.5916770084423062,-0.5988959441425803,-0.5986114479391363,-0.600929166279393
2020-02-13,-0.6174269675004265,-0.6116520314570091,-0.5604421381711007,-0.600929166279393,-0.6079846132080162,-0.6956322299656464,-0.6006114300927676
2020-02-14,-0.6152377000313016,-0.6126057739746662,-0.5624267771453872,-0.6006114300927676,-0.6076722276816953,-0.770426365929569,-0.624238060262994
2020-02-18,-0.6525755097294517,-0.6373643912517652,-0.595133709811901,-0.624238060262994,-0.6308811385614268,-0.40030119027144684,-0.6058927338629825
