Date,Open,High,Low,Close,Adj Close,Volume
2023-06-01,177.6999969482422,180.1199951171875,176.92999267578125,180.08999633789062,178.93153381347656,68901800
2023-06-02,181.02999877929688,181.77999877929688,179.25999450683594,180.9499969482422,179.78599548339844,61945900
2023-06-05,182.6300048828125,184.9499969482422,178.0399932861328,179.5800018310547,178.4248046875,121946500
2023-06-06,179.97000122070312,180.1199951171875,177.42999267578125,179.2100067138672,178.0572052001953,64848400
2023-06-07,178.44000244140625,181.2100067138672,177.32000732421875,177.82000732421875,176.67611694335938,61944600
2023-06-08,177.89999389648438,180.83999633789062,177.4600067138672,180.57000732421875,179.408447265625,50214900
2023-06-09,181.5,182.22999572753906,180.6300048828125,180.9600067138672,179.7959442138672,48870700
2023-06-12,181.27000427246094,183.88999938964844,180.97000122070312,183.7899932861328,182.60772705078125,54274900
2023-06-13,182.8000030517578,184.14999389648438,182.44000244140625,183.30999755859375,182.1308135986328,54929100
2023-06-14,183.3699951171875,184.38999938964844,182.02000427246094,183.9499969482422,182.76670837402344,57462900
2023-06-15,183.9600067138672,186.52000427246094,183.77999877929688,186.00999450683594,184.81344604492188,65433200
2023-06-16,186.72999572753906,186.99000549316406,184.27000427246094,184.9199981689453,183.73045349121094,101235600
2023-06-20,184.41000366210938,186.10000610351562,184.41000366210938,185.00999450683594,183.81988525390625,49799100
2023-06-21,184.89999389648438,185.41000366210938,182.58999633789062,183.9600067138672,182.77664184570312,49515700
2023-06-22,183.74000549316406,187.0500030517578,183.6699981689453,187.0,185.7970733642578,51245300
2023-06-23,185.5500030517578,187.55999755859375,185.00999450683594,186.67999267578125,185.4791259765625,53079300
2023-06-26,186.8300018310547,188.0500030517578,185.22999572753906,185.27000427246094,184.0782012939453,48088700
2023-06-27,185.88999938964844,188.38999938964844,185.6699981689453,188.05999755859375,186.85025024414062,50730800
2023-06-28,187.92999267578125,189.89999389648438,187.60000610351562,189.25,188.03260803222656,51216800
2023-06-29,189.0800018310547,190.07000732421875,188.94000244140625,189.58999633789062,188.3704071044922,46347300
2023-06-30,191.6300048828125,194.47999572753906,191.25999450683594,193.97000122070312,192.7222442626953,85069600
2023-07-03,193.77999877929688,193.8800048828125,191.75999450683594,192.4600067138672,191.2219696044922,31458200
2023-07-05,191.57000732421875,192.97999572753906,190.6199951171875,191.3300018310547,190.09922790527344,46920300
2023-07-06,189.83999633789062,192.02000427246094,189.1999969482422,191.80999755859375,190.57614135742188,45094300
2023-07-07,191.41000366210938,192.6699981689453,190.24000549316406,190.67999267578125,189.45339965820312,46778000
2023-07-10,189.25999450683594,189.99000549316406,187.0399932861328,188.61000061035156,187.396728515625,59922200
2023-07-11,189.16000366210938,189.3000030517578,186.60000610351562,188.0800018310547,186.87014770507812,46638100
2023-07-12,189.67999267578125,191.6999969482422,188.47000122070312,189.77000427246094,188.54925537109375,60750200
2023-07-13,190.5,191.19000244140625,189.77999877929688,190.5399932861328,189.31430053710938,41342300
